[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,109] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:31,922] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:32,722] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:33,529] INFO [app:181] FitControl Pro 2.0 initialized.
